id,collectionCode,Species,eventDate,verbatimEventDate,has_abundance,habitat,verbatimAttributes,decimalLatitude,decimalLongitude,stateProvince
23889037,NA,PEWH,2019-07-31,NA,TRUE,Rocky meadow surrounded by willows and Pentaphylloides shrubs. Near transect 2 in upper basin (UVB).,Common.,38.985389,-106.971445,Colorado
23889849,NA,PEWH,2019-07-31,NA,TRUE,Meadow with many willow patches. Near transect 1 in upper basin (UVB).,Fairly common. Scattered.,38.984458,-106.970863,Colorado
23889951,NA,PEWH,2019-07-31,NA,TRUE,Meadow with many willow patches. Near transect 1 in upper basin (UVB).,Fairly common. Scattered.,38.984458,-106.970863,Colorado
24788867,NA,PEWH,2019-08-12,NA,TRUE,Shale slope on ridge and talus just below.,Fairly common.,38.984459,-106.968573,Colorado
27186106,NA,PEWH,2009-07-17,17 July 2009,TRUE,"Common in moist meadow full of flowers, and along lake shore.",NA,40.4,-106.62,Colorado
27190535,NA,PEWH,2007-07-21,21 July 2007,TRUE,Common in alpine tundra. In moist runnoff next to road.,NA,39.38,-106.09,Colorado
27198523,NA,PEWH,2007-07-07,7 July 2007,TRUE,"Common in moist, shaded area under conifers.",NA,38.89,-107.71,Colorado
27212029,NA,PEWH,2015-08-08,8 August 2015,TRUE,Common on rocky outcropping in alpine tundra.,NA,39.13,-106.18,Colorado
27862343,RSA,PEWH,1898-07-11,"July 11, 1898",TRUE,Common in open areas in bed of canon.,Frequently forms extensive mats.,37.388423,-108.074674,Colorado
28163573,NA,PEWH,2021-07-24,NA,TRUE,Meadow and talus.,Fairly common.,38.971297,-106.942625,Colorado
29949646,Vascular Plants,PEWH,2022-07-06,7/6/22,TRUE,"Transition zone between the alpine and subalpine, west facing rocky slope with abundant herbs.",NA,37.4471,-108.00658,Colorado
30086052,NA,PEWH,2021-07-02,02 July 2021,TRUE,Common herb to 0.35 m amongst large rocks near the ridgeline in alpine.,NA,37.382778,-108.045,Colorado
31957311,NA,PEWH,2013-07-17,7/17/2013,TRUE,NA,Scattered to locally abundant. Corolla brownish purple to nearly white.,38.67859,-106.50413,Colorado
32686157,Herb,PEWH,1987-07-21,21-Jul-87,TRUE,"Moist, shady area",Flowers white or deep purple. Common name: Whipple's penstemon.,40.028477,-105.223139,Colorado
